"PROVINCIA","PORCENTAJEANALFABETISMO","POBLACIONTOTAL","PORCENTAJELENGUA","PORCENTAJENBI","Porcentaje Mujer","Porcentaje Hombre","Rural porcentaje","Urbano porcentaje","SIN WIFI","CON WIFI","UBIGEO","Departamento"
"CHACHAPOYAS",9.93947625152457,55506,2.96544517709797,29.6206179199634,0.491856736208698,0.508143263791302,0.371454652148399,0.628545347851601,0.108626198083067,0.891373801916933,"0101","AMAZONAS"
"CHANCHAMAYO",7.74882139819814,151489,17.8574021876176,32.3886683191891,0.512743499528019,0.487256500471981,0.351955935251799,0.648044064748201,0.0917491007194245,0.908250899280576,"1203","JUNIN"
"CHEPEN",7.42851979620061,78418,0.526664796347777,15.094671775373,0.488306256216685,0.511693743783315,0.124395760344139,0.875604239655861,0.171404496873476,0.828595503126524,"1304","LA LIBERTAD"
"CHICLAYO",5.66499054984625,799675,0.85084565604777,15.1766075043519,0.481649420076906,0.518350579923094,0.0528218825977912,0.947178117402209,0.357452848737118,0.642547151262882,"1401","LAMBAYEQUE"
"CHINCHA",3.77160032228044,226113,3.52434402267893,26.4373616019408,0.492147731444013,0.507852268555988,0.0788451409007111,0.921154859099289,0.222313668685805,0.777686331314195,"1102","ICA"
"CHINCHEROS",20.2872845430104,45247,72.0047737971578,19.3519815872521,0.495281455124097,0.504718544875903,0.70515329419439,0.29484670580561,0.0173226063637023,0.982677393636298,"0306","APURIMAC"
"CHOTA",19.0707605688479,142984,1.25888211268394,30.8166300405198,0.477165277233816,0.522834722766184,0.786146135347133,0.213853864652867,0.0485244869979547,0.951475513002045,"0604","CAJAMARCA"
"CHUCUITO",10.6562380702159,89002,82.536347497809,32.0843131947041,0.500820206287499,0.499179793712501,0.770683649031134,0.229316350968866,0.024112780317875,0.975887219682125,"2104","PUNO"
"CHUMBIVILCAS",22.7925934990017,66410,85.3666616473423,30.2764052022407,0.508417407017016,0.491582592982985,0.759215723152153,0.240784276847847,0.0107673500094038,0.989232649990596,"0807","CUSCO"
"CHUPACA",8.88408800829847,52988,12.6953272439043,20.7089593693667,0.489223975239677,0.510776024760323,0.426752446052808,0.573247553947192,0.0734485993834607,0.926551400616539,"1209","JUNIN"
"CHURCAMPA",21.4751329654619,32538,75.5209293748847,27.7793986007755,0.4863544163747,0.5136455836253,0.905889435135949,0.0941105648640514,0.0113374134644326,0.988662586535567,"0905","HUANCAVELICA"
